,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,City Council District,2018 Solar-Ready Status,Agency,Site,BBL,Address,Borough,Environmental Justice Zone**,Total Gross Square Footage,Roof Condition,Roof Age,Solar-Readiness Assessment***,Other Sustainability Projects****
35,35,35,35,1,Solar-Ready,DHS,Catherine Life Family Shelter,1001110150,78 Catherine St,Manhattan,EJZ,"115,659 GSF",Good,5 to 9 years,,
36,36,36,36,1,Not Solar-Ready,DOE,M142,1003430001,100 ATTORNEY STREET,Manhattan,EJZ,"119,519 GSF",Between Fair and Poor,> 20 years,,
37,37,37,37,1,Not Solar-Ready,DSNY,Manhattan 3 District Garage,1,280-284 South St,Manhattan,EJZ,"120,000 GSF",Between Good and Fair,> 20 years,Yes,
38,38,38,38,1,Not Solar-Ready,DCAS,Tweed Courthouse,1001220001,52 Chambers St,Manhattan,,"170,131 GSF",Fair,15 to 19 years,,
39,39,39,39,1,Not Solar-Ready,DOE,M056,1002690041,220 HENRY STREET,Manhattan,EJZ,"183,775 GSF",Under construction,Under construction,,
40,40,40,40,1,Not Solar-Ready,DOE,M131,1003010003,100 HESTER STREET,Manhattan,EJZ,"207,109 GSF",Fair,10 to 14 years,,
41,41,41,41,1,Not Solar-Ready,DCAS,Manhattan Surrogate's Court,1001530024,31 Chambers St,Manhattan,,"212,500 GSF",Fair,15 to 19 years,,
42,42,42,42,1,Not Solar-Ready,DOC,"Manhattan House Detention, North Tower",1001980001,84 Baxter St,Manhattan,EJZ,"236,142 GSF",Between Fair and Poor,> 20 years,,
43,43,43,43,1,Not Solar-Ready,DCAS,Sun Building,1001530001,280 Broadway,Manhattan,,"242,062 GSF",Good,15 to 19 years,,
44,44,44,44,1,Solar-Ready,DOE,M445,1004080030,350 GRAND ST.,Manhattan,EJZ,"313,549 GSF",Good,< 2 years,Yes,
45,45,45,45,1,Not Solar-Ready,DCAS,Manhattan Supreme Court,1001600021,60 Centre St,Manhattan,EJZ,"322,300 GSF",Poor,Unknown,,
46,46,46,46,1,Not Solar-Ready,HHC,Gouverneur Health Care Services,1002700032,227 Madison St,Manhattan,EJZ,"335,800 GSF",Between Good and Fair,15 to 19 years,,
47,47,47,47,1,Solar-Ready,CUNY,BMCC Fiterman Hall,1001270001,245 Greenwich St,Manhattan,,"357,774 GSF",Good,2 to 4 years,,
48,48,48,48,1,Solar-Ready,DCAS,Court Square Building,1001550001,2 Lafayette St,Manhattan,,"363,309 GSF",Good,2 to 4 years,,
49,49,49,49,1,Solar-Ready,DOE,M520,1001130100,411 PEARL ST,Manhattan,EJZ,"366,200 GSF",Between Good and Fair,5 to 9 years,,
50,50,50,50,1,Not Solar-Ready,DCAS,Health Building,1001680032,125 Worth St,Manhattan,,"406,109 GSF",Fair,15 to 19 years,,
51,51,51,51,1,Not Solar-Ready,DCAS,Manhattan Civil Court,1001690010,111 Centre St,Manhattan,,"462,260 GSF",Poor,Unknown,,
52,52,52,52,1,Not Solar-Ready,DCAS,Louis J. Lefkowitz Building,1001660027,80 Centre St,Manhattan,EJZ,"472,500 GSF",Fair,15 to 19 years,,
53,53,53,53,1,Not Solar-Ready,DCAS,Manhattan Family Court,1001710031,60 Lafayette St,Manhattan,,"481,000 GSF",Good,10 to 14 years,,
54,54,54,54,1,Solar-Ready,DOE,M477,1000160215,345 CHAMBERS ST.,Manhattan,,"483,250 GSF",Between Good and Fair,5 to 9 years,,
55,55,55,55,1,Not Solar-Ready,DOC,"Manhattan House Detention, South Tower",1001670001,125 White St,Manhattan,EJZ,"514,000 GSF",Between Fair and Poor,> 20 years,,
56,56,56,56,1,Not Solar-Ready,DCAS,Manhattan Criminal Court,1001670001,100 Centre St,Manhattan,EJZ,"795,700 GSF",Fair,> 20 years,,
57,57,57,57,1,Not Solar-Ready,NYPD,NYPD Police Headquarters,1001190001,1 Police Plz,Manhattan,EJZ,"1,000,518 GSF",Fair,15 to 19 years,,
58,58,58,58,1,Not Solar-Ready,DCAS,Manhattan Municipal Building,1001210001,1 Centre St,Manhattan,EJZ,"1,070,800 GSF",Good,15 to 19 years,,
59,59,59,59,2,Not Solar-Ready,HHC,Roberto Clemente Clinic,1004060024,538 East 13th St,Manhattan,EJZ,"11,000 GSF",Between Good and Fair,10 to 14 years,,
60,60,60,60,2,Not Solar-Ready,DPR,Hamilton Fish Recreation Center,1003400001,128 Pitt St,Manhattan,EJZ,"12,900 GSF",Fair,> 20 years,,
61,61,61,61,2,Not Solar-Ready,NYPL,Tompkins Square Branch Library,1004040039,331 East 10th St,Manhattan,,"14,703 GSF",Fair,15 to 19 years,,
62,62,62,62,2,Not Solar-Ready,NYPL,Epiphany Branch Library,1009030046,228 East 23rd St,Manhattan,,"16,218 GSF",Fair,15 to 19 years,,
63,63,63,63,2,Solar-Ready,DHS,Kenton Hotel Shelter,1004580004,333 Bowery,Manhattan,EJZ,"23,492 GSF",Good,5 to 9 years,,
64,64,64,64,2,Not Solar-Ready,DHS,Shelter,1003720014,282 East 3rd St,Manhattan,,"23,530 GSF",Unknown,Unknown,,
65,65,65,65,2,Not Solar-Ready,NYPD,Property Clerk and Youth Aid,1005630020,34 East 12th St,Manhattan,,"41,490 GSF",Between Fair and Poor,Unknown,,
66,66,66,66,2,Not Solar-Ready,NYPD,9th Precinct,1004470047,321 East 5th St,Manhattan,,"42,235 GSF",Between Fair and Poor,5 to 9 years,,
67,67,67,67,2,Not Solar-Ready,DOE,M751,1,113 E 4 TH ST  10003,Manhattan,,"49,260 GSF",Fair,15 to 19 years,,
